#{"t_start": 1782059159.2732995, "env_id": "None"}
r,l,t
2206.0,1000,2.349157
3290.0,1000,2.865968
3470.0,1000,3.41258
4013.0,1000,3.986741
4090.0,1000,4.603712
3805.0,1000,5.233985
2609.0,1000,5.86261
3349.0,1000,6.477359
3885.0,1000,7.163622
4351.0,1000,7.795197
3272.0,1000,8.453513
1506.0,1000,9.078857
2313.0,1000,9.714249
2629.0,1000,10.384894
3594.0,1000,11.000706
3759.0,1000,11.601767
1581.0,1000,12.212584
2673.0,1000,12.836767
3381.0,1000,13.476054
3422.0,1000,14.103743
3697.0,1000,14.754112
3639.0,1000,15.416728
4177.0,1000,16.058335
3996.0,1000,16.676688
1730.0,1000,17.284525
978.0,1000,17.905731
1037.0,1000,18.527538
4611.0,1000,19.127564
3656.0,1000,19.738312
2225.0,1000,20.356253
2759.0,1000,20.958052
1885.0,1000,21.594475
1438.0,1000,22.212038
4588.0,1000,22.827823
2200.0,1000,23.435154
2806.0,1000,24.0629
1406.0,1000,24.694237
1129.0,1000,25.309424
942.0,1000,25.922594
4184.0,1000,26.532624
3483.0,1000,27.146597
4604.0,1000,27.770826
1620.0,1000,28.395495
2745.0,1000,29.000994
2053.0,1000,29.613141
799.0,1000,30.233039
4251.0,1000,30.839802
2480.0,1000,31.452575
3270.0,1000,32.074692
3167.0,1000,32.692009
