#{"t_start": 1782280394.2600522, "env_id": "None"}
r,l,t
3570.0,1000,1.900123
4371.0,1000,2.721489
2664.0,1000,3.563397
4386.0,1000,4.355226
3152.0,1000,5.197829
1913.0,1000,6.058019
3156.0,1000,6.860792
2902.0,1000,7.718868
4519.0,1000,8.564392
3251.0,1000,9.344517
